lyr,date,mean,sd,isNA,notNA
CRW_SST_1985.04.01,1985-04-01,20.73716346153848,0.4891859115530405,0,624
CRW_SST_1985.04.02,1985-04-02,20.373173076923088,0.46840413692143174,0,624
CRW_SST_1985.04.03,1985-04-03,20.2402564102564,0.4704210043222848,0,624
CRW_SST_1985.04.04,1985-04-04,20.334391025640993,0.4572521890057933,0,624
CRW_SST_1985.04.05,1985-04-05,20.744775641025637,0.36024507573388725,0,624
CRW_SST_1985.04.06,1985-04-06,21.145881410256415,0.3744095731284695,0,624
CRW_SST_1985.04.07,1985-04-07,21.089647435897437,0.3618800614441906,0,624
CRW_SST_1985.04.08,1985-04-08,21.15501602564105,0.3473740053342511,0,624
CRW_SST_1985.04.09,1985-04-09,21.1,0.3167501509177423,0,624
CRW_SST_1985.04.10,1985-04-10,20.955689102564087,0.3575139407009417,0,624
CRW_SST_1985.04.11,1985-04-11,20.909919871794862,0.3684157571747777,0,624
CRW_SST_1985.04.12,1985-04-12,20.523076923076896,0.2639990402856279,0,624
CRW_SST_1985.04.13,1985-04-13,20.491121794871816,0.22701218931674175,0,624
CRW_SST_1985.04.14,1985-04-14,20.54628205128205,0.1920121316026273,0,624
CRW_SST_1985.04.15,1985-04-15,21.001666666666697,0.2013193507945379,0,624
CRW_SST_1985.04.16,1985-04-16,21.40158653846154,0.195389594459777,0,624
CRW_SST_1985.04.17,1985-04-17,21.680865384615377,0.2169744261287272,0,624
CRW_SST_1985.04.18,1985-04-18,21.72788461538462,0.2713547478584469,0,624
CRW_SST_1985.04.19,1985-04-19,21.736137820512823,0.355281617206839,0,624
CRW_SST_1985.04.20,1985-04-20,22.154246794871785,0.22942823059263864,0,624
CRW_SST_1985.04.21,1985-04-21,22.30291666666667,0.3357373516430013,0,624
CRW_SST_1985.04.22,1985-04-22,22.16701923076925,0.2717408824102096,0,624
CRW_SST_1985.04.23,1985-04-23,22.113750000000053,0.24589086892510564,0,624
CRW_SST_1985.04.24,1985-04-24,22.410464743589735,0.25077909173039586,0,624
CRW_SST_1985.04.25,1985-04-25,22.703894230769222,0.2961406031814207,0,624
CRW_SST_1985.04.26,1985-04-26,22.785801282051295,0.16857156154172848,0,624
CRW_SST_1985.04.27,1985-04-27,22.854230769230767,0.15042812508489142,0,624
CRW_SST_1985.04.28,1985-04-28,22.838846153846156,0.135455768487807,0,624
