lyr,date,mean,sd,isNA,notNA
grd_CRW_SST_1986.01.01,1986-01-01,11.359124302190576,0.4100329013146504,42206,354
grd_CRW_SST_1987.01.01,1987-01-01,12.718700573269256,0.3134817915905463,42206,354
grd_CRW_SST_1988.01.01,1988-01-01,11.287514096599514,0.2385925005505386,42206,354
grd_CRW_SST_1989.01.01,1989-01-01,10.337259874505511,0.3534806577074104,42206,354
grd_CRW_SST_1990.01.01,1990-01-01,11.96700564077345,0.18676326539545873,42206,354
grd_CRW_SST_1991.01.01,1991-01-01,9.745536715297376,0.3397372173605804,42206,354
grd_CRW_SST_1992.01.01,1992-01-01,12.396694916116315,0.2220598595376052,42206,354
grd_CRW_SST_1993.01.01,1993-01-01,12.410536733724303,0.35163559491522245,42206,354
grd_CRW_SST_1994.01.01,1994-01-01,12.262853107883432,0.28034285422680355,42206,354
grd_CRW_SST_1995.01.01,1995-01-01,11.26296609404397,0.2480152561411921,42206,354
grd_CRW_SST_1996.01.01,1996-01-01,12.878474583060054,0.44824485348198206,42206,354
grd_CRW_SST_1997.01.01,1997-01-01,12.602627131898524,0.2078478408794724,42206,354
grd_CRW_SST_1998.01.01,1998-01-01,13.938389848181084,0.18617500528239936,42206,354
grd_CRW_SST_1999.01.01,1999-01-01,10.598276836050433,0.4108653274527536,42206,354
grd_CRW_SST_2000.01.01,2000-01-01,10.726045166705287,0.5534569741998289,42206,354
grd_CRW_SST_2001.01.01,2001-01-01,11.6742090640095,0.3202991927539728,42206,354
grd_CRW_SST_2002.01.01,2002-01-01,11.948672329638637,0.312644200585013,42206,354
grd_CRW_SST_2003.01.01,2003-01-01,12.432203379054528,0.12577105320641063,42206,354
grd_CRW_SST_2004.01.01,2004-01-01,12.242344646130578,0.21527736827736518,42206,354
grd_CRW_SST_2005.01.01,2005-01-01,12.036129956865041,0.16137157683290312,42206,354
grd_CRW_SST_2006.01.01,2006-01-01,12.842966117427848,0.2234153129933659,42206,354
grd_CRW_SST_2007.01.01,2007-01-01,11.458107336766302,0.24942673951782063,42206,354
grd_CRW_SST_2008.01.01,2008-01-01,10.358361575563075,0.26292670436455634,42206,354
grd_CRW_SST_2009.01.01,2009-01-01,11.26096044691269,0.5104984687447068,42206,354
grd_CRW_SST_2010.01.01,2010-01-01,11.754011286180571,0.24559405948374888,42206,354
grd_CRW_SST_2011.01.01,2011-01-01,11.505649714820128,0.19208046292036757,42206,354
grd_CRW_SST_2012.01.01,2012-01-01,11.411497164580782,0.27479430465076965,42206,354
grd_CRW_SST_2013.01.01,2013-01-01,11.915875709663004,0.19890476126004875,42206,354
grd_CRW_SST_2014.01.01,2014-01-01,11.328615813605529,0.4675292760480983,42206,354
grd_CRW_SST_2015.01.01,2015-01-01,13.525536749996034,0.5387072426998025,42206,354
grd_CRW_SST_2016.01.01,2016-01-01,12.665310746532375,0.3881065232031819,42206,354
grd_CRW_SST_2017.01.01,2017-01-01,11.284321997798768,0.4030270982428109,42206,354
grd_CRW_SST_2018.01.01,2018-01-01,12.434773983928443,0.5452510423788093,42206,354
grd_CRW_SST_2019.01.01,2019-01-01,12.305310728859766,0.5152578871132678,42206,354
grd_CRW_SST_2020.01.01,2020-01-01,12.571751427515752,0.3552428733192241,42206,354
grd_CRW_SST_2021.01.01,2021-01-01,11.178813554472843,0.2721881850291283,42206,354
grd_CRW_SST_2022.01.01,2022-01-01,11.678192065934004,0.2546666001774511,42206,354
grd_CRW_SST_2023.01.01,2023-01-01,12.16257062470172,0.39026308665964604,42206,354
