lyr,date,mean,sd,isNA,notNA
CRW_SST_1985.04.01,1985-04-01,11.333636363636371,0.0801332378412348,0,99
CRW_SST_1985.04.02,1985-04-02,10.989090909090908,0.1439464959352953,0,99
CRW_SST_1985.04.03,1985-04-03,11.782424242424243,0.12200778587659422,0,99
CRW_SST_1985.04.04,1985-04-04,11.575151515151513,0.10565986665339794,0,99
CRW_SST_1985.04.05,1985-04-05,11.289797979797973,0.10323323897253338,0,99
CRW_SST_1985.04.06,1985-04-06,11.332020202020205,0.1350055161227969,0,99
CRW_SST_1985.04.07,1985-04-07,11.784242424242432,0.13214162863566623,0,99
CRW_SST_1985.04.08,1985-04-08,12.04272727272728,0.13388860875523695,0,99
CRW_SST_1985.04.09,1985-04-09,12.575757575757573,0.10065186423414064,0,99
CRW_SST_1985.04.10,1985-04-10,12.180707070707065,0.319039542445051,0,99
CRW_SST_1985.04.11,1985-04-11,12.21626262626263,0.3901114070562568,0,99
CRW_SST_1985.04.12,1985-04-12,12.277373737373738,0.4116085565109992,0,99
CRW_SST_1985.04.13,1985-04-13,12.349494949494941,0.3391567386058047,0,99
CRW_SST_1985.04.14,1985-04-14,12.389797979797976,0.28951042347748,0,99
CRW_SST_1985.04.15,1985-04-15,12.445151515151512,0.2526809864049804,0,99
CRW_SST_1985.04.16,1985-04-16,12.41959595959596,0.22464901963799874,0,99
CRW_SST_1985.04.17,1985-04-17,12.176767676767678,0.18179843223996048,0,99
CRW_SST_1985.04.18,1985-04-18,12.24909090909091,0.17007855873393152,0,99
CRW_SST_1985.04.19,1985-04-19,12.249292929292933,0.1543006112201394,0,99
CRW_SST_1985.04.20,1985-04-20,12.18434343434344,0.1527313341820298,0,99
CRW_SST_1985.04.21,1985-04-21,12.263939393939392,0.1562625876194877,0,99
CRW_SST_1985.04.22,1985-04-22,12.867979797979798,0.08949951314415237,0,99
CRW_SST_1985.04.23,1985-04-23,12.852727272727275,0.08355394422462337,0,99
CRW_SST_1985.04.24,1985-04-24,12.837272727272728,0.08486265232052155,0,99
CRW_SST_1985.04.25,1985-04-25,12.73727272727273,0.09757067748883018,0,99
CRW_SST_1985.04.26,1985-04-26,12.620606060606061,0.0708090012409274,0,99
CRW_SST_1985.04.27,1985-04-27,12.867676767676771,0.08050641098504256,0,99
CRW_SST_1985.04.28,1985-04-28,12.6750505050505,0.07266604823527448,0,99
CRW_SST_1985.04.29,1985-04-29,12.725151515151506,0.06227594347476965,0,99
