lyr,date,mean,sd,isNA,notNA
grd_CRW_SST_1986.01.01,1986-01-01,NA,NA,76,0
grd_CRW_SST_1987.01.01,1987-01-01,NA,NA,76,0
grd_CRW_SST_1988.01.01,1988-01-01,NA,NA,76,0
grd_CRW_SST_1989.01.01,1989-01-01,NA,NA,76,0
grd_CRW_SST_1990.01.01,1990-01-01,NA,NA,76,0
grd_CRW_SST_1991.01.01,1991-01-01,NA,NA,76,0
grd_CRW_SST_1992.01.01,1992-01-01,NA,NA,76,0
grd_CRW_SST_1993.01.01,1993-01-01,NA,NA,76,0
grd_CRW_SST_1994.01.01,1994-01-01,NA,NA,76,0
grd_CRW_SST_1995.01.01,1995-01-01,NA,NA,76,0
grd_CRW_SST_1996.01.01,1996-01-01,NA,NA,76,0
grd_CRW_SST_1997.01.01,1997-01-01,NA,NA,76,0
grd_CRW_SST_1998.01.01,1998-01-01,NA,NA,76,0
grd_CRW_SST_1999.01.01,1999-01-01,NA,NA,76,0
grd_CRW_SST_2000.01.01,2000-01-01,NA,NA,76,0
grd_CRW_SST_2001.01.01,2001-01-01,NA,NA,76,0
grd_CRW_SST_2002.01.01,2002-01-01,NA,NA,76,0
grd_CRW_SST_2003.01.01,2003-01-01,NA,NA,76,0
grd_CRW_SST_2004.01.01,2004-01-01,NA,NA,76,0
grd_CRW_SST_2005.01.01,2005-01-01,NA,NA,76,0
grd_CRW_SST_2006.01.01,2006-01-01,NA,NA,76,0
grd_CRW_SST_2007.01.01,2007-01-01,NA,NA,76,0
grd_CRW_SST_2008.01.01,2008-01-01,NA,NA,76,0
grd_CRW_SST_2009.01.01,2009-01-01,NA,NA,76,0
grd_CRW_SST_2010.01.01,2010-01-01,NA,NA,76,0
grd_CRW_SST_2011.01.01,2011-01-01,NA,NA,76,0
grd_CRW_SST_2012.01.01,2012-01-01,NA,NA,76,0
grd_CRW_SST_2013.01.01,2013-01-01,NA,NA,76,0
grd_CRW_SST_2014.01.01,2014-01-01,NA,NA,76,0
grd_CRW_SST_2015.01.01,2015-01-01,NA,NA,76,0
grd_CRW_SST_2016.01.01,2016-01-01,NA,NA,76,0
grd_CRW_SST_2017.01.01,2017-01-01,NA,NA,76,0
grd_CRW_SST_2018.01.01,2018-01-01,NA,NA,76,0
grd_CRW_SST_2019.01.01,2019-01-01,NA,NA,76,0
grd_CRW_SST_2020.01.01,2020-01-01,NA,NA,76,0
grd_CRW_SST_2021.01.01,2021-01-01,NA,NA,76,0
grd_CRW_SST_2022.01.01,2022-01-01,NA,NA,76,0
grd_CRW_SST_2023.01.01,2023-01-01,NA,NA,76,0
