lyr,date,mean,sd,isNA,notNA
CRW_SST_1985.04.01,1985-04-01,29.125629682997147,0.19853983057616809,2,6940
CRW_SST_1985.04.02,1985-04-02,29.19451296829965,0.2258977235574588,2,6940
CRW_SST_1985.04.03,1985-04-03,29.155237752161337,0.2895680867415723,2,6940
CRW_SST_1985.04.04,1985-04-04,28.9955518731987,0.2180143944230386,2,6940
CRW_SST_1985.04.05,1985-04-05,29.022801152737788,0.1983029112774663,2,6940
CRW_SST_1985.04.06,1985-04-06,28.920244956772397,0.1397769533709424,2,6940
CRW_SST_1985.04.07,1985-04-07,28.65560374639763,0.13138951125678863,2,6940
CRW_SST_1985.04.08,1985-04-08,28.425423631124005,0.12147924221911292,2,6940
CRW_SST_1985.04.09,1985-04-09,28.10527953890496,0.12103314070717652,2,6940
CRW_SST_1985.04.10,1985-04-10,27.55747118155597,0.28858009683085023,2,6940
CRW_SST_1985.04.11,1985-04-11,28.148157060518805,0.3044037471286728,2,6940
CRW_SST_1985.04.12,1985-04-12,28.45225936599424,0.34798097432840636,2,6940
CRW_SST_1985.04.13,1985-04-13,28.638743515850333,0.2782094467039001,2,6940
CRW_SST_1985.04.14,1985-04-14,28.72746397694517,0.26011065688746815,2,6940
CRW_SST_1985.04.15,1985-04-15,28.474822766570693,0.23594752056057483,2,6940
CRW_SST_1985.04.16,1985-04-16,28.2588126801152,0.2930782447372092,2,6940
CRW_SST_1985.04.17,1985-04-17,28.582528818443738,0.5021935338888914,2,6940
CRW_SST_1985.04.18,1985-04-18,28.89254322766561,0.4327921080818266,2,6940
CRW_SST_1985.04.19,1985-04-19,29.074433717579183,0.3988204026682115,2,6940
CRW_SST_1985.04.20,1985-04-20,29.147023054755024,0.3210540933162623,2,6940
CRW_SST_1985.04.21,1985-04-21,29.505194524495423,0.3232667234410925,2,6940
CRW_SST_1985.04.22,1985-04-22,29.755180115273657,0.3139684750565971,2,6940
CRW_SST_1985.04.23,1985-04-23,29.44812536023053,0.3782420237511266,2,6940
CRW_SST_1985.04.24,1985-04-24,29.239742074927907,0.3461758303067697,2,6940
CRW_SST_1985.04.25,1985-04-25,29.16206195965415,0.28513233032930135,2,6940
CRW_SST_1985.04.26,1985-04-26,29.038121037464123,0.2693883744905642,2,6940
CRW_SST_1985.04.27,1985-04-27,28.81416858789616,0.31798768823815843,2,6940
