lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,0.7460714209435592,0.4189961250034672,702,201
chlorophyll_2003.02.16,2003-02-16,0.783261546151555,0.2774388744329972,702,201
chlorophyll_2003.03.16,2003-03-16,1.933794703016329,1.293276694687584,704,199
chlorophyll_2003.04.16,2003-04-16,6.087555445432663,4.6936175314639526,703,200
chlorophyll_2003.05.16,2003-05-16,5.617094142656577,5.480465508332175,713,190
chlorophyll_2003.06.16,2003-06-16,1.51027055530204,0.9806116036034894,709,194
chlorophyll_2003.07.16,2003-07-16,3.362822194074847,2.4271664701668896,709,194
chlorophyll_2003.08.16,2003-08-16,3.1035525600115457,1.543374206310143,705,198
chlorophyll_2003.09.16,2003-09-16,3.9238958656787872,2.166686816796594,704,199
chlorophyll_2003.10.16,2003-10-16,1.986713740693864,2.65321604641082,704,199
chlorophyll_2003.11.16,2003-11-16,1.338405333348175,0.8269262985876584,702,201
chlorophyll_2003.12.16,2003-12-16,1.1663858669229072,0.5768302863351966,701,202
chlorophyll_2004.01.16,2004-01-16,1.262241846854144,0.48829003544974375,701,202
chlorophyll_2004.02.16,2004-02-16,1.8974914610385896,0.8558129813496462,703,200
chlorophyll_2004.03.16,2004-03-16,3.12290174646426,2.580927334860553,706,197
chlorophyll_2004.04.16,2004-04-16,10.241463831067083,8.108238658537871,703,200
chlorophyll_2004.05.16,2004-05-16,5.2950660927394,4.38594437323335,709,194
chlorophyll_2004.06.16,2004-06-16,2.939529147056433,2.2714511967921496,708,195
chlorophyll_2004.07.16,2004-07-16,1.316254949099139,1.3269222980794275,713,190
chlorophyll_2004.08.16,2004-08-16,1.1540574380243669,0.8688115383147814,705,198
chlorophyll_2004.09.16,2004-09-16,2.0514429095552194,5.086114577518251,704,199
chlorophyll_2004.10.16,2004-10-16,0.9870684373019328,0.6012733929377527,704,199
chlorophyll_2004.11.16,2004-11-16,1.1073755654049855,1.1173004531046995,699,204
chlorophyll_2004.12.16,2004-12-16,0.7379603853821755,0.1841739562923428,703,200
chlorophyll_2005.01.16,2005-01-16,1.2675369444803977,0.7509017516421388,704,199
chlorophyll_2005.02.16,2005-02-16,0.9204066348381532,0.4053556256340069,708,195
chlorophyll_2005.03.16,2005-03-16,1.629346198110438,1.2386054927797516,702,201
chlorophyll_2005.04.16,2005-04-16,10.485723294694017,6.930285315662758,705,198
chlorophyll_2005.05.16,2005-05-16,7.034282018008985,6.478256525269877,713,190
chlorophyll_2005.06.16,2005-06-16,5.069823698307339,3.714728103349402,713,190
