lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,1.507754435839732,0.7654677474580499,1112,484
chlorophyll_2003.02.16,2003-02-16,1.91024428912012,1.0750344909380471,1109,487
chlorophyll_2003.03.16,2003-03-16,3.801204598639622,3.8819171653374784,1112,484
chlorophyll_2003.04.16,2003-04-16,7.295596971984226,6.320236206193478,1114,482
chlorophyll_2003.05.16,2003-05-16,3.712263105059965,3.8650289863612666,1117,479
chlorophyll_2003.06.16,2003-06-16,4.36863276536266,4.063306690484276,1116,480
chlorophyll_2003.07.16,2003-07-16,3.593152620407365,3.5676135520237895,1113,483
chlorophyll_2003.08.16,2003-08-16,4.7768045717685865,5.686325713726864,1109,487
chlorophyll_2003.09.16,2003-09-16,3.6358631124467022,4.455945677756772,1110,486
chlorophyll_2003.10.16,2003-10-16,3.6604276173671737,3.54564081606669,1108,488
chlorophyll_2003.11.16,2003-11-16,1.6055512826467295,1.253676416651277,1111,485
chlorophyll_2003.12.16,2003-12-16,1.6378846773916709,1.8527509981493575,1118,478
chlorophyll_2004.01.16,2004-01-16,1.1782283540969052,0.5391436763458912,1112,484
chlorophyll_2004.02.16,2004-02-16,1.569407242387222,1.5930363855878948,1117,479
chlorophyll_2004.03.16,2004-03-16,6.36563829712848,4.813295036553049,1114,482
chlorophyll_2004.04.16,2004-04-16,7.010037468484611,6.640244224625139,1112,484
chlorophyll_2004.05.16,2004-05-16,7.129008805639809,7.573526237284354,1117,479
chlorophyll_2004.06.16,2004-06-16,5.169751077274646,6.525266245467684,1112,484
chlorophyll_2004.07.16,2004-07-16,4.05902813669223,4.703744611427659,1125,471
chlorophyll_2004.08.16,2004-08-16,2.452714153417607,2.9267545406526376,1111,485
chlorophyll_2004.09.16,2004-09-16,3.871847506307187,3.113506526030611,1108,488
chlorophyll_2004.10.16,2004-10-16,2.281974708788174,2.062651193501889,1111,485
chlorophyll_2004.11.16,2004-11-16,6.189653211428155,6.603435927819308,1109,487
chlorophyll_2004.12.16,2004-12-16,4.700508929358041,4.797911950787786,1112,484
chlorophyll_2005.01.16,2005-01-16,1.253810635369843,0.6963236331654111,1114,482
chlorophyll_2005.02.16,2005-02-16,1.8220605130940049,1.4909240426739252,1122,474
chlorophyll_2005.03.16,2005-03-16,2.081240777002931,1.6337976191168064,1110,486
chlorophyll_2005.04.16,2005-04-16,4.8535428153528715,5.1673987732644795,1114,482
chlorophyll_2005.05.16,2005-05-16,4.995916742400119,5.792791584464557,1121,475
chlorophyll_2005.06.16,2005-06-16,5.184286974262051,6.023836933448281,1115,481
chlorophyll_2005.07.16,2005-07-16,3.5919478466636257,2.633280345791198,1121,475
chlorophyll_2005.08.16,2005-08-16,3.596070040703807,7.228826699680788,1113,483
chlorophyll_2005.09.16,2005-09-16,9.07119397548112,8.44170944149145,1112,484
chlorophyll_2005.10.16,2005-10-16,5.13733499738359,3.3930973002271223,1111,485
chlorophyll_2005.11.16,2005-11-16,3.743301579195434,4.92859138562464,1114,482
chlorophyll_2005.12.16,2005-12-16,3.30812033251946,3.952745320627646,1113,483
chlorophyll_2006.01.16,2006-01-16,3.3362385245147816,2.750434842502152,1112,484
chlorophyll_2006.02.16,2006-02-16,3.9323411724874098,5.1058651652744915,1114,482
chlorophyll_2006.03.16,2006-03-16,2.2002252084868297,1.8284840483828428,1120,476
chlorophyll_2006.04.16,2006-04-16,4.281733958666295,4.101182795548911,1118,478
chlorophyll_2006.05.16,2006-05-16,7.877927448140814,7.812642528122152,1126,470
chlorophyll_2006.06.16,2006-06-16,5.0863285055422685,6.1625976039910375,1114,482
chlorophyll_2006.07.16,2006-07-16,3.2908799734668457,3.0075214105763255,1113,483
chlorophyll_2006.08.16,2006-08-16,7.283351079995433,7.335071866556031,1116,480
chlorophyll_2006.09.16,2006-09-16,5.159926174960521,6.206612538099466,1113,483
chlorophyll_2006.10.16,2006-10-16,7.54602350306905,5.698878729785809,1112,484
chlorophyll_2006.11.16,2006-11-16,5.131846358172626,4.338744280262075,1114,482
chlorophyll_2006.12.16,2006-12-16,4.9931706482000315,4.9584449306629255,1110,486
chlorophyll_2007.01.16,2007-01-16,1.058385278567795,0.5764568787607913,1112,484
chlorophyll_2007.02.16,2007-02-16,1.1658066056309506,0.6788151413161834,1119,477
chlorophyll_2007.03.16,2007-03-16,2.5411646911464785,2.822280536881881,1114,482
chlorophyll_2007.04.16,2007-04-16,2.750428768967794,4.082882094284304,1112,484
chlorophyll_2007.05.16,2007-05-16,4.507136975524268,6.373357151651386,1127,469
chlorophyll_2007.06.16,2007-06-16,2.198176896116536,1.9034354114168808,1125,471
chlorophyll_2007.07.16,2007-07-16,3.859842470078053,3.996299463799089,1114,482
chlorophyll_2007.08.16,2007-08-16,3.1864534277106418,3.1038026971718837,1113,483
chlorophyll_2007.09.16,2007-09-16,3.4444674521930945,4.2331057669851475,1112,484
chlorophyll_2007.10.16,2007-10-16,2.51648030460866,2.610544524541451,1112,484
chlorophyll_2007.11.16,2007-11-16,4.159052440885156,5.555407994752438,1109,487
chlorophyll_2007.12.16,2007-12-16,1.6800050045833117,1.6966360536523404,1112,484
chlorophyll_2008.01.16,2008-01-16,1.7592693683517424,0.9298253704507352,1114,482
chlorophyll_2008.02.16,2008-02-16,1.5549464638321853,0.7936130761117529,1112,484
chlorophyll_2008.03.16,2008-03-16,1.726194835398808,1.1577031827932005,1112,484
chlorophyll_2008.04.16,2008-04-16,2.1886310174293127,2.5454580989810744,1111,485
chlorophyll_2008.05.16,2008-05-16,3.3013388382964552,4.324062896165399,1118,478
chlorophyll_2008.06.16,2008-06-16,3.24494112638517,2.75510438288318,1114,482
chlorophyll_2008.07.16,2008-07-16,3.242635160005858,4.410937475754249,1113,483
chlorophyll_2008.08.16,2008-08-16,4.626392173791873,4.836118259363451,1115,481
chlorophyll_2008.09.16,2008-09-16,4.578487504067118,4.8726516890539475,1109,487
chlorophyll_2008.10.16,2008-10-16,3.4513638820844825,3.0804596774733213,1111,485
chlorophyll_2008.11.16,2008-11-16,1.2230763018376545,0.7454352708696625,1110,486
chlorophyll_2008.12.16,2008-12-16,1.9968028130117528,1.8419932369995131,1112,484
chlorophyll_2009.01.16,2009-01-16,2.0530504460697054,2.0912615028126855,1109,487
chlorophyll_2009.02.16,2009-02-16,3.5962344111855495,5.656579237175688,1111,485
chlorophyll_2009.03.16,2009-03-16,1.2033778173582894,0.845479587907874,1113,483
chlorophyll_2009.04.16,2009-04-16,2.0381580474690644,2.2719857602051605,1110,486
chlorophyll_2009.05.16,2009-05-16,6.582385176928276,7.278605046767554,1115,481
chlorophyll_2009.06.16,2009-06-16,3.201838430173758,5.186738414053011,1120,476
chlorophyll_2009.07.16,2009-07-16,1.4962879461901528,1.6080173578567325,1120,476
chlorophyll_2009.08.16,2009-08-16,4.2689698457966765,6.937766125388523,1117,479
chlorophyll_2009.09.16,2009-09-16,2.81171543539063,4.073765959937385,1112,484
chlorophyll_2009.10.16,2009-10-16,3.5889133701393425,4.191718366337997,1112,484
chlorophyll_2009.11.16,2009-11-16,4.527609708382911,4.112816572069671,1111,485
chlorophyll_2009.12.16,2009-12-16,2.084962971240723,3.167038541372478,1123,473
chlorophyll_2010.01.16,2010-01-16,1.1672177880017225,0.35316777912792935,1112,484
chlorophyll_2010.02.16,2010-02-16,1.6952103362797917,1.601614892675497,1289,307
chlorophyll_2010.03.16,2010-03-16,3.9230953131438793,2.8479167879957505,1117,479
