lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,0.4840024074682822,0.0799719216501247,0,130
chlorophyll_2003.02.16,2003-02-16,0.7377854528335425,0.1375271910639994,0,130
chlorophyll_2003.03.16,2003-03-16,0.5377402603626251,0.03293521896912118,0,130
chlorophyll_2003.04.16,2003-04-16,0.4117346548117124,0.11421687489006706,0,130
chlorophyll_2003.05.16,2003-05-16,0.552012370641415,0.2980976477514195,0,130
chlorophyll_2003.06.16,2003-06-16,0.4480891940685419,0.14002559193650296,0,130
chlorophyll_2003.07.16,2003-07-16,0.38501140062625594,0.0668514849278985,0,130
chlorophyll_2003.08.16,2003-08-16,0.25252185383668313,0.01401046486428548,0,130
chlorophyll_2003.09.16,2003-09-16,0.5991942531787432,0.14169158665672166,0,130
chlorophyll_2003.10.16,2003-10-16,1.4868089671318347,0.765636177780004,0,130
chlorophyll_2003.11.16,2003-11-16,0.516502798979099,0.03472067764729079,0,130
chlorophyll_2003.12.16,2003-12-16,0.6656450780538412,0.05077680985847084,0,130
chlorophyll_2004.01.16,2004-01-16,0.8228281167837289,0.15362950061352984,0,130
chlorophyll_2004.02.16,2004-02-16,0.5683999389410019,0.14040934402752475,0,130
chlorophyll_2004.03.16,2004-03-16,0.8283181140056023,0.4064424574628085,0,130
chlorophyll_2004.04.16,2004-04-16,0.5986890471898593,0.04608326678482268,0,130
chlorophyll_2004.05.16,2004-05-16,0.39974341644690586,0.09449798223248602,0,130
chlorophyll_2004.06.16,2004-06-16,0.2700700473326903,0.07504953963205464,0,130
chlorophyll_2004.07.16,2004-07-16,0.5386369848480591,0.31437412013258315,0,130
chlorophyll_2004.08.16,2004-08-16,0.6579362656061466,0.16627356262213175,0,130
chlorophyll_2004.09.16,2004-09-16,1.4614393743184897,0.781996068056663,0,130
chlorophyll_2004.10.16,2004-10-16,1.6944801417680888,0.8760124835612471,0,130
chlorophyll_2004.11.16,2004-11-16,1.0562142262092002,0.07446498832327825,0,130
chlorophyll_2004.12.16,2004-12-16,0.820189814384167,0.08183600341186906,0,130
chlorophyll_2005.01.16,2005-01-16,0.8569716944144322,0.05923597601691959,0,130
chlorophyll_2005.02.16,2005-02-16,0.8174417213751719,0.17951757012086655,0,130
chlorophyll_2005.03.16,2005-03-16,0.38809094062218297,0.10351472332510143,0,130
chlorophyll_2005.04.16,2005-04-16,0.8956375919855558,0.30069133682839405,0,130
chlorophyll_2005.05.16,2005-05-16,0.29661964951083064,0.2177560269584954,2,128
chlorophyll_2005.06.16,2005-06-16,0.839507278570762,0.3068876258100712,0,130
chlorophyll_2005.07.16,2005-07-16,0.7201561450958252,0.21636426006235257,0,130
chlorophyll_2005.08.16,2005-08-16,0.3973031681317549,0.0663050302389149,0,130
chlorophyll_2005.09.16,2005-09-16,0.37483883110376504,0.21239262528398029,0,130
chlorophyll_2005.10.16,2005-10-16,0.7373795500168434,0.29168743071726966,0,130
chlorophyll_2005.11.16,2005-11-16,3.4631051998872024,1.6103855863139604,0,130
chlorophyll_2005.12.16,2005-12-16,0.8268381435137528,0.14935783243375603,0,130
chlorophyll_2006.01.16,2006-01-16,1.413371371305906,0.3444009584689909,0,130
chlorophyll_2006.02.16,2006-02-16,0.8582490884340727,0.13000857640209595,0,130
chlorophyll_2006.03.16,2006-03-16,1.0656916916370391,0.2964905913743024,0,130
chlorophyll_2006.04.16,2006-04-16,0.8093834400177002,0.16268893197030282,10,120
chlorophyll_2006.05.16,2006-05-16,0.5044327453925059,0.1321128376759425,0,130
chlorophyll_2006.06.16,2006-06-16,0.6912982505101424,0.501868360439686,0,130
chlorophyll_2006.07.16,2006-07-16,1.6458850911030405,0.9599209682520806,0,130
chlorophyll_2006.08.16,2006-08-16,0.6856159086410816,0.41733144683619017,0,130
chlorophyll_2006.09.16,2006-09-16,1.530472462910872,0.5584424848205217,0,130
chlorophyll_2006.10.16,2006-10-16,0.511389424938422,0.05309084760935586,0,130
chlorophyll_2006.11.16,2006-11-16,0.6122592100730309,0.05065358899278937,0,130
chlorophyll_2006.12.16,2006-12-16,0.6659450090848482,0.06900688067630449,0,130
chlorophyll_2007.01.16,2007-01-16,0.670234177662776,0.03552869670848838,0,130
chlorophyll_2007.02.16,2007-02-16,0.9720408129505812,0.1330150126607696,2,128
chlorophyll_2007.03.16,2007-03-16,1.3438711170966808,0.3752380157315132,0,130
chlorophyll_2007.04.16,2007-04-16,0.5744500517845154,0.18964439910499872,0,130
chlorophyll_2007.05.16,2007-05-16,0.8076705983051887,0.1153498334426226,0,130
chlorophyll_2007.06.16,2007-06-16,1.0435729512801537,0.144741757259387,0,130
chlorophyll_2007.07.16,2007-07-16,0.653754813854511,0.24593555711473697,0,130
chlorophyll_2007.08.16,2007-08-16,0.6951995904629047,0.1542722553620845,0,130
chlorophyll_2007.09.16,2007-09-16,0.5448038151630988,0.07819269938471683,0,130
chlorophyll_2007.10.16,2007-10-16,0.7409445615915152,0.06883103722686758,0,130
chlorophyll_2007.11.16,2007-11-16,0.9684479232017812,0.3436454801242809,0,130
chlorophyll_2007.12.16,2007-12-16,0.7423189933483417,0.07181461954761287,0,130
chlorophyll_2008.01.16,2008-01-16,1.183267320577915,0.09440964330362216,0,130
