lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,1.0338472220137798,1.1070690552255773,1231,1619
chlorophyll_2003.02.16,2003-02-16,1.5652805738802364,1.3822888013190295,1237,1613
chlorophyll_2003.03.16,2003-03-16,2.7733977139367263,3.8014472854902426,1244,1606
chlorophyll_2003.04.16,2003-04-16,4.393913564835201,6.074501919445354,1247,1603
chlorophyll_2003.05.16,2003-05-16,3.5442918196282376,3.679922074829795,1288,1562
chlorophyll_2003.06.16,2003-06-16,3.379875712724157,5.103583428914236,1247,1603
chlorophyll_2003.07.16,2003-07-16,3.846226172669689,7.069634829975733,1264,1586
chlorophyll_2003.08.16,2003-08-16,2.216955761148756,3.771586009885075,1243,1607
chlorophyll_2003.09.16,2003-09-16,2.068305436800877,3.321181667036876,1235,1615
chlorophyll_2003.10.16,2003-10-16,4.81892401173877,3.941604727241869,1236,1614
chlorophyll_2003.11.16,2003-11-16,1.4656779754874738,1.6622023843314864,1228,1622
chlorophyll_2003.12.16,2003-12-16,0.9784288637651478,0.9794433604436396,1247,1603
chlorophyll_2004.01.16,2004-01-16,1.1063130243589794,0.8156842766927062,1233,1617
chlorophyll_2004.02.16,2004-02-16,2.051794661399245,2.525676395171438,1264,1586
chlorophyll_2004.03.16,2004-03-16,4.528670899162245,4.410938977846317,1242,1608
chlorophyll_2004.04.16,2004-04-16,6.56287270676006,7.947815512473533,1255,1595
chlorophyll_2004.05.16,2004-05-16,4.4366433223646675,5.174110265166003,1248,1602
chlorophyll_2004.06.16,2004-06-16,3.983370874364722,4.861245179609562,1257,1593
chlorophyll_2004.07.16,2004-07-16,3.046997799033379,4.015572490293676,1335,1515
chlorophyll_2004.08.16,2004-08-16,2.7103626139160255,3.977690111134651,1245,1605
chlorophyll_2004.09.16,2004-09-16,4.241887836375104,4.085338245743713,1235,1615
chlorophyll_2004.10.16,2004-10-16,2.525151900600662,2.5778440054546725,1237,1613
chlorophyll_2004.11.16,2004-11-16,2.5759109686554216,3.549956084770884,1230,1620
chlorophyll_2004.12.16,2004-12-16,1.6639513763453817,2.8309720274860855,1241,1609
chlorophyll_2005.01.16,2005-01-16,1.1655508600748503,0.8750913669954485,1238,1612
