lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,1.5082659232862217,1.05360076451515,773,485
chlorophyll_2003.02.16,2003-02-16,3.747519748285413,2.6838918378134355,714,544
chlorophyll_2003.03.16,2003-03-16,2.018891767185167,1.2922440815618246,740,518
chlorophyll_2003.04.16,2003-04-16,4.816218162424692,3.599940207548892,734,524
chlorophyll_2003.05.16,2003-05-16,7.610977892753289,8.52673601441655,732,526
chlorophyll_2003.06.16,2003-06-16,9.850289005850287,8.458244620715172,735,523
chlorophyll_2003.07.16,2003-07-16,7.878952137362802,6.3955547506701445,721,537
chlorophyll_2003.08.16,2003-08-16,6.667590218870079,4.312196602811201,714,544
chlorophyll_2003.09.16,2003-09-16,7.719152586236184,7.138398769897272,715,543
chlorophyll_2003.10.16,2003-10-16,2.0994804091959693,1.3728287273763349,721,537
chlorophyll_2003.11.16,2003-11-16,1.9776703686194312,1.3419846584986326,726,532
chlorophyll_2003.12.16,2003-12-16,NA,NA,1258,0
chlorophyll_2004.01.16,2004-01-16,1.1386804580688477,0.75767244166467,1217,41
chlorophyll_2004.02.16,2004-02-16,5.385199228370631,7.333704531338984,718,540
chlorophyll_2004.03.16,2004-03-16,2.621422281988006,1.2955462720723692,717,541
chlorophyll_2004.04.16,2004-04-16,8.276119022299133,5.703579187996008,715,543
chlorophyll_2004.05.16,2004-05-16,3.5381049925691626,3.347452743262934,724,534
chlorophyll_2004.06.16,2004-06-16,4.888075771767487,5.635146719056,719,539
chlorophyll_2004.07.16,2004-07-16,7.50203627489862,4.322089494629337,712,546
chlorophyll_2004.08.16,2004-08-16,11.398687077125656,8.336353758107826,723,535
chlorophyll_2004.09.16,2004-09-16,9.317837330248084,5.354136408239619,716,542
chlorophyll_2004.10.16,2004-10-16,5.616631556561578,3.908551645380185,712,546
chlorophyll_2004.11.16,2004-11-16,3.0045019100799344,2.8931862770375094,725,533
chlorophyll_2004.12.16,2004-12-16,NA,NA,1258,0
chlorophyll_2005.01.16,2005-01-16,1.5076168340784084,2.547653767437867,942,316
chlorophyll_2005.02.16,2005-02-16,3.697415787882709,2.269315163357135,709,549
chlorophyll_2005.03.16,2005-03-16,2.127364826158404,1.1254819465952397,716,542
chlorophyll_2005.04.16,2005-04-16,2.413643134015014,2.401160266995479,749,509
chlorophyll_2005.05.16,2005-05-16,2.6903756185254055,2.0360028149851863,722,536
chlorophyll_2005.06.16,2005-06-16,4.097207025980538,5.486041434020111,737,521
chlorophyll_2005.07.16,2005-07-16,7.546832011058899,5.113926934387415,717,541
chlorophyll_2005.08.16,2005-08-16,5.801143324883838,4.878025363104813,719,539
chlorophyll_2005.09.16,2005-09-16,4.446965725873323,3.1628713154666537,714,544
chlorophyll_2005.10.16,2005-10-16,3.119009793927216,4.477216620535183,727,531
