lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,0.7120030464380035,0.1037540381218476,1144,473
chlorophyll_2003.02.16,2003-02-16,0.6597196417586768,0.06295308016571312,1073,544
chlorophyll_2003.03.16,2003-03-16,0.6880835462716104,0.1160292354422048,934,683
chlorophyll_2003.04.16,2003-04-16,0.852196321772742,0.2527162223525077,890,727
chlorophyll_2003.05.16,2003-05-16,0.8334383573459956,0.5600748671176982,890,727
chlorophyll_2003.06.16,2003-06-16,1.0271205049547656,0.9484200096214964,892,725
chlorophyll_2003.07.16,2003-07-16,0.9278860966197584,0.4239169237685811,903,714
chlorophyll_2003.08.16,2003-08-16,0.8463120021469164,0.4443414687481571,890,727
chlorophyll_2003.09.16,2003-09-16,0.904806418072422,0.35114990908914767,891,726
chlorophyll_2003.10.16,2003-10-16,0.9493974372950948,0.1954230449444828,895,722
chlorophyll_2003.11.16,2003-11-16,0.853171960029002,0.2572288960330189,886,731
chlorophyll_2003.12.16,2003-12-16,0.7556589957065334,0.12530226068406664,1004,613
chlorophyll_2004.01.16,2004-01-16,0.6890037576762997,0.08193432013844866,1470,147
chlorophyll_2004.02.16,2004-02-16,0.630165598041275,0.05542258603474039,911,706
chlorophyll_2004.03.16,2004-03-16,0.6393008549313445,0.13947676681744747,902,715
chlorophyll_2004.04.16,2004-04-16,0.8112628522155049,0.299757196552576,889,728
chlorophyll_2004.05.16,2004-05-16,0.9931831287404338,1.8932997886001748,889,728
chlorophyll_2004.06.16,2004-06-16,1.1098589356988668,1.0473463211264082,897,720
chlorophyll_2004.07.16,2004-07-16,1.3228758340806104,2.667939667275436,905,712
chlorophyll_2004.08.16,2004-08-16,0.9364146040131648,0.4473350055616895,897,720
chlorophyll_2004.09.16,2004-09-16,0.9971466940535112,0.4663401501918832,888,729
chlorophyll_2004.10.16,2004-10-16,1.050995244467554,0.37480160652655664,891,726
chlorophyll_2004.11.16,2004-11-16,0.8231507381780552,0.17793643305397813,885,732
chlorophyll_2004.12.16,2004-12-16,0.6993596520959114,0.27784569589444114,1127,490
chlorophyll_2005.01.16,2005-01-16,0.5666366579776021,0.06841663010801889,1186,431
chlorophyll_2005.02.16,2005-02-16,0.6753466877402091,0.10224283782717884,931,686
chlorophyll_2005.03.16,2005-03-16,0.5683222081738786,0.05837825924152991,910,707
chlorophyll_2005.04.16,2005-04-16,0.695323810694808,0.36892525687342514,886,731
chlorophyll_2005.05.16,2005-05-16,0.9107547654713716,3.6388343241328,893,724
chlorophyll_2005.06.16,2005-06-16,0.7389691152476469,1.5597446620134476,898,719
chlorophyll_2005.07.16,2005-07-16,0.6241002939487326,0.3284053501409435,892,725
chlorophyll_2005.08.16,2005-08-16,0.6684718795573514,0.2730620127605472,893,724
chlorophyll_2005.09.16,2005-09-16,0.7489342983028092,0.3443371323140927,890,727
chlorophyll_2005.10.16,2005-10-16,0.7632156173716563,0.2353477598562908,891,726
chlorophyll_2005.11.16,2005-11-16,0.7051869796382056,0.18112132550174623,897,720
chlorophyll_2005.12.16,2005-12-16,0.4897597985608237,0.0911671206675265,1288,329
chlorophyll_2006.01.16,2006-01-16,0.6751261648218332,0.1214750186263158,894,723
chlorophyll_2006.02.16,2006-02-16,0.5785080105534399,0.08792855054254423,1235,382
chlorophyll_2006.03.16,2006-03-16,0.635994565907938,0.14050515058100668,895,722
chlorophyll_2006.04.16,2006-04-16,0.7047998426215989,1.00611721752896,889,728
chlorophyll_2006.05.16,2006-05-16,0.7436692689134538,1.4093801024513637,894,723
chlorophyll_2006.06.16,2006-06-16,0.734031226429446,0.9861559867288896,892,725
chlorophyll_2006.07.16,2006-07-16,0.5428306363253208,0.25760589887931284,899,718
chlorophyll_2006.08.16,2006-08-16,0.6282103750212439,0.47761307997380215,892,725
chlorophyll_2006.09.16,2006-09-16,0.6943665220187261,0.19094466285740752,902,715
chlorophyll_2006.10.16,2006-10-16,0.794969465075097,0.24755880081891468,899,718
chlorophyll_2006.11.16,2006-11-16,0.5406341547326695,0.1787682031114193,1121,496
chlorophyll_2006.12.16,2006-12-16,0.5966012152826756,0.19921561993005535,1220,397
chlorophyll_2007.01.16,2007-01-16,0.6255981092605264,0.11708377064986508,975,642
chlorophyll_2007.02.16,2007-02-16,0.5945142886308841,0.1158189543220491,923,694
chlorophyll_2007.03.16,2007-03-16,0.6546595759984464,0.26580980306756735,909,708
chlorophyll_2007.04.16,2007-04-16,0.6022176955897233,0.24587131692115632,892,725
chlorophyll_2007.05.16,2007-05-16,0.682125962327684,1.6927079558368503,898,719
chlorophyll_2007.06.16,2007-06-16,0.6056152623388942,0.34201173063394796,894,723
chlorophyll_2007.07.16,2007-07-16,0.5859239113741908,0.2499050855328447,892,725
chlorophyll_2007.08.16,2007-08-16,0.6087010750961831,0.28344338624595183,894,723
chlorophyll_2007.09.16,2007-09-16,0.7462320217744707,0.25178378863526496,891,726
chlorophyll_2007.10.16,2007-10-16,0.8097283282561231,0.22509862162547964,888,729
chlorophyll_2007.11.16,2007-11-16,0.6041741896821156,0.17112626488970903,1003,614
chlorophyll_2007.12.16,2007-12-16,0.5820321351005917,0.09313122521703404,1092,525
chlorophyll_2008.01.16,2008-01-16,0.6243159883297407,0.28138884189387736,1097,520
chlorophyll_2008.02.16,2008-02-16,0.49198013697251697,0.1004112323261351,936,681
chlorophyll_2008.03.16,2008-03-16,0.5144245834353883,0.11273927829687762,894,723
chlorophyll_2008.04.16,2008-04-16,0.6136244255172248,0.7736007178481749,895,722
chlorophyll_2008.05.16,2008-05-16,0.638884535543776,0.28863829676502073,898,719
chlorophyll_2008.06.16,2008-06-16,0.8209504784827821,1.6137094600121398,905,712
chlorophyll_2008.07.16,2008-07-16,1.3094164377285376,5.214966259411384,897,720
chlorophyll_2008.08.16,2008-08-16,0.9567147539621526,1.5365475725843405,889,728
chlorophyll_2008.09.16,2008-09-16,0.9383860068673588,0.4967841033416431,893,724
chlorophyll_2008.10.16,2008-10-16,1.0148363499851016,0.40604423294957814,889,728
chlorophyll_2008.11.16,2008-11-16,0.882139955820139,0.3766410724597928,895,722
chlorophyll_2008.12.16,2008-12-16,0.6156208127737045,0.12394230894209474,1537,80
chlorophyll_2009.01.16,2009-01-16,0.5498723793934674,0.06780881569833191,1314,303
chlorophyll_2009.02.16,2009-02-16,0.5642836441360943,0.118710641398925,984,633
chlorophyll_2009.03.16,2009-03-16,0.5256530244731241,0.16024008334712464,897,720
chlorophyll_2009.04.16,2009-04-16,0.5900731339251323,0.33505537215451675,890,727
chlorophyll_2009.05.16,2009-05-16,0.7435446077774834,1.2150308175673323,894,723
chlorophyll_2009.06.16,2009-06-16,0.7186597870993319,1.4981183590549576,890,727
chlorophyll_2009.07.16,2009-07-16,0.6925037487054602,0.3219921702286028,899,718
chlorophyll_2009.08.16,2009-08-16,0.6355751260538787,0.32824411629061273,893,724
chlorophyll_2009.09.16,2009-09-16,0.682163956233994,0.7587207333751543,888,729
