active,type,url,var,var_header,plot_label,plot_color,metadata_nc,yr_beg,yr_end
T,erddap,https://upwell.pfeg.noaa.gov/erddap/griddap/jplMURSST41mday.html,sst,,Temperature (°C),red,,,
T,erddap,https://coastwatch.pfeg.noaa.gov/erddap/griddap/erdMH1chlamday.html,chlorophyll,,Chlorophyll a (mg/m³),green,,,
T,erddap,https://coastwatch.pfeg.noaa.gov/erddap/griddap/erdMH1chlamday_R2022NRT.html,chlorophyll,,Chlorophyll a (mg/m³),green,,,
F,erddap,https://coastwatch.pfeg.noaa.gov/erddap/griddap/NOAA_DHW.html,CRW_SST,,Temperature (°C),red,,,
T,nc,,SST,Sea Surface Temperature Annual Climate Projection,Temperature (°C),red,This climate forecast dataset [CESM2 Large Ensemble Community Project (LENS2) | Community Earth System Model](https://www.cesm.ucar.edu/community-projects/lens2) was provided by Kristen Krumhardt at  [UCAR](https://www.ucar.edu/) annually since 1990 and out to 2100 as a netCDF file. These data were summarized (mean and standard deviation) by sanctuary with the Quarto markdown notebook [ucar.qmd](https://github.com/noaa-onms/climate-dashboard/blob/main/scripts/ucar.qmd).,1990,2100
T,nc,,Chl,Chlorophyll _a_ Annual Climate Projection,Chlorophyll a (mg/m³),green,This climate forecast dataset [CESM2 Large Ensemble Community Project (LENS2) | Community Earth System Model](https://www.cesm.ucar.edu/community-projects/lens2) was provided by Kristen Krumhardt at  [UCAR](https://www.ucar.edu/) annually since 1990 and out to 2100 as a netCDF file. These data were summarized (mean and standard deviation) by sanctuary with the Quarto markdown notebook [ucar.qmd](https://github.com/noaa-onms/climate-dashboard/blob/main/scripts/ucar.qmd).,1990,2100
T,nc,,PH,Acidity (pH) Annual Climate Projection,pH,gray,This climate forecast dataset [CESM2 Large Ensemble Community Project (LENS2) | Community Earth System Model](https://www.cesm.ucar.edu/community-projects/lens2) was provided by Kristen Krumhardt at  [UCAR](https://www.ucar.edu/) annually since 1990 and out to 2100 as a netCDF file. These data were summarized (mean and standard deviation) by sanctuary with the Quarto markdown notebook [ucar.qmd](https://github.com/noaa-onms/climate-dashboard/blob/main/scripts/ucar.qmd).,1990,2100
T,nc,,HMXL_DR,Mixed Layer Depth Annual Climate Projection,Mixed Layer Depth (m),blue,This climate forecast dataset [CESM2 Large Ensemble Community Project (LENS2) | Community Earth System Model](https://www.cesm.ucar.edu/community-projects/lens2) was provided by Kristen Krumhardt at  [UCAR](https://www.ucar.edu/) annually since 1990 and out to 2100 as a netCDF file. These data were summarized (mean and standard deviation) by sanctuary with the Quarto markdown notebook [ucar.qmd](https://github.com/noaa-onms/climate-dashboard/blob/main/scripts/ucar.qmd).,1990,2100
T,nc,,SSS,Sea Surface Salinity Annual Climate Projection,Sea Surface Salinity (psu),purple,This climate forecast dataset [CESM2 Large Ensemble Community Project (LENS2) | Community Earth System Model](https://www.cesm.ucar.edu/community-projects/lens2) was provided by Kristen Krumhardt at  [UCAR](https://www.ucar.edu/) annually since 1990 and out to 2100 as a netCDF file. These data were summarized (mean and standard deviation) by sanctuary with the Quarto markdown notebook [ucar.qmd](https://github.com/noaa-onms/climate-dashboard/blob/main/scripts/ucar.qmd).,1990,2100
T,nc,,NPP,Net Primary Production Annual Climate Projection,Net Primary Production (mmol/(m^2*d)),darkgreen,This climate forecast dataset [CESM2 Large Ensemble Community Project (LENS2) | Community Earth System Model](https://www.cesm.ucar.edu/community-projects/lens2) was provided by Kristen Krumhardt at  [UCAR](https://www.ucar.edu/) annually since 1990 and out to 2100 as a netCDF file. These data were summarized (mean and standard deviation) by sanctuary with the Quarto markdown notebook [ucar.qmd](https://github.com/noaa-onms/climate-dashboard/blob/main/scripts/ucar.qmd).,1990,2100
