lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,11.138741602441636,0.15680424194440398,1634,3388
sst_2002.07.16,2002-07-16,11.438308733835411,0.4290333166502857,1634,3388
sst_2002.08.16,2002-08-16,12.598649431429056,0.4027295013940388,1634,3388
sst_2002.09.16,2002-09-16,13.603543305199992,0.4383633321352213,1634,3388
sst_2002.10.16,2002-10-16,13.760901891354829,0.3262382299248431,1634,3388
sst_2002.11.16,2002-11-16,13.278271644709385,0.2412658177619527,1634,3388
sst_2002.12.16,2002-12-16,13.106726203927463,0.16811447773475424,1634,3388
sst_2003.01.16,2003-01-16,12.977376971644524,0.14218082977364524,1634,3388
sst_2003.02.16,2003-02-16,12.989168196388794,0.19627196758005103,1634,3388
sst_2003.03.16,2003-03-16,12.346341922404212,0.2891641022755862,1634,3388
sst_2003.04.16,2003-04-16,11.955787262359223,0.45332573501897744,1634,3388
sst_2003.05.16,2003-05-16,11.39493598622724,0.4817231656643524,1634,3388
sst_2003.06.16,2003-06-16,11.273420809010547,0.4583949212291105,1634,3388
sst_2003.07.16,2003-07-16,11.524215698242188,0.5249455060627076,1634,3388
sst_2003.08.16,2003-08-16,14.578264220686984,0.6996476930847486,1634,3388
sst_2003.09.16,2003-09-16,14.152652555823748,0.6464595389936925,1634,3388
sst_2003.10.16,2003-10-16,12.818482976595936,0.3653318249173277,1634,3388
sst_2003.11.16,2003-11-16,12.545456554138111,0.3665370028907895,1634,3388
sst_2003.12.16,2003-12-16,12.70326670677068,0.2082915267302496,1634,3388
sst_2004.01.16,2004-01-16,12.294794292067133,0.05622514995582855,1634,3388
sst_2004.02.16,2004-02-16,11.880079870663115,0.10269483932566204,1634,3388
sst_2004.03.16,2004-03-16,11.862067842990196,0.3433096365077607,1634,3388
sst_2004.04.16,2004-04-16,11.739395330760104,0.554949165598092,1634,3388
sst_2004.05.16,2004-05-16,12.459989923794687,1.037473222866684,1634,3388
sst_2004.06.16,2004-06-16,12.171679869452502,0.9149349122141154,1634,3388
sst_2004.07.16,2004-07-16,13.727639082331022,0.6907142889038755,1634,3388
sst_2004.08.16,2004-08-16,14.623224287697388,0.5461594965101572,1634,3388
sst_2004.09.16,2004-09-16,13.69502742906951,0.4623005241649871,1634,3388
sst_2004.10.16,2004-10-16,13.711472980810028,0.5968335516624677,1634,3388
sst_2004.11.16,2004-11-16,13.638317031590123,0.16013832237695114,1634,3388
sst_2004.12.16,2004-12-16,12.231940835819897,0.06736860151653414,1634,3388
sst_2005.01.16,2005-01-16,12.437248067844576,0.13273650955043162,1634,3388
sst_2005.02.16,2005-02-16,12.604651314871653,0.10696817945338805,1634,3388
sst_2005.03.16,2005-03-16,13.473299938503658,0.07233945971356799,1634,3388
sst_2005.04.16,2005-04-16,12.505191960610636,0.4181344258514943,1634,3388
sst_2005.05.16,2005-05-16,13.35773995859986,0.5093019472741086,1634,3388
sst_2005.06.16,2005-06-16,12.07022441517223,0.6108102355433078,1634,3388
sst_2005.07.16,2005-07-16,12.810765254033075,0.5489589832910071,1634,3388
sst_2005.08.16,2005-08-16,13.50214889508352,0.4941020598555222,1634,3388
sst_2005.09.16,2005-09-16,13.185709082953624,0.3893408172766693,1634,3388
sst_2005.10.16,2005-10-16,13.121435118115638,0.5520250661593443,1634,3388
sst_2005.11.16,2005-11-16,13.045683904690613,0.5366818770040821,1634,3388
sst_2005.12.16,2005-12-16,12.859744714874305,0.43593554265556367,1634,3388
sst_2006.01.16,2006-01-16,12.588506642311213,0.16627838580533033,1634,3388
sst_2006.02.16,2006-02-16,12.88860893925078,0.34461929792570795,1634,3388
sst_2006.03.16,2006-03-16,11.394160120940406,0.08806140319040574,1634,3388
sst_2006.04.16,2006-04-16,11.909103276456545,0.13879617313700918,1634,3388
sst_2006.05.16,2006-05-16,11.61261389866348,0.4034326004369249,1634,3388
sst_2006.06.16,2006-06-16,12.819518277327033,0.608903400573316,1634,3388
sst_2006.07.16,2006-07-16,13.370883666920127,0.349787935422872,1634,3388
sst_2006.08.16,2006-08-16,13.590910027694251,0.33655198951794585,1634,3388
sst_2006.09.16,2006-09-16,13.348470937825711,0.38594684773423665,1634,3388
sst_2006.10.16,2006-10-16,14.775280192441612,0.33458058863410317,1634,3388
sst_2006.11.16,2006-11-16,14.08024567443055,0.23899923985958343,1634,3388
sst_2006.12.16,2006-12-16,12.649440932020529,0.23702264931944492,1634,3388
sst_2007.01.16,2007-01-16,11.329442264056963,0.2832973184935958,1634,3388
sst_2007.02.16,2007-02-16,11.322906458110426,0.2111915968367787,1634,3388
sst_2007.03.16,2007-03-16,11.366828116785117,0.29857414994850506,1634,3388
sst_2007.04.16,2007-04-16,10.782293668744696,0.4438093672916706,1634,3388
sst_2007.05.16,2007-05-16,11.037488556808958,0.42603183185471255,1634,3388
sst_2007.06.16,2007-06-16,11.410174472272889,0.4846320985494912,1634,3388
sst_2007.07.16,2007-07-16,12.97144920232023,0.5766175100596328,1634,3388
sst_2007.08.16,2007-08-16,13.818230179715748,0.5570659850723094,1634,3388
sst_2007.09.16,2007-09-16,14.619653514875573,0.6276996526200403,1634,3388
sst_2007.10.16,2007-10-16,13.30425044468471,0.6724551606559723,1634,3388
sst_2007.11.16,2007-11-16,12.99845255701995,0.4433249922633273,1634,3388
sst_2007.12.16,2007-12-16,11.128902394768762,0.2148219865908596,1634,3388
sst_2008.01.16,2008-01-16,10.801016103841338,0.1081431577294621,1634,3388
sst_2008.02.16,2008-02-16,10.991777350235436,0.11045738924382031,1634,3388
sst_2008.03.16,2008-03-16,10.85730551547396,0.31206590732229894,1634,3388
sst_2008.04.16,2008-04-16,10.303227277122955,0.4974612115459685,1634,3388
sst_2008.05.16,2008-05-16,10.381682205650574,0.42139287923906354,1634,3388
sst_2008.06.16,2008-06-16,10.883376633825382,0.48914049815619337,1634,3388
sst_2008.07.16,2008-07-16,12.995183420012385,0.2876439329316136,1634,3388
sst_2008.08.16,2008-08-16,13.344228805307797,0.43855151593646624,1634,3388
sst_2008.09.16,2008-09-16,14.594523009893605,0.1559001143017043,1634,3388
sst_2008.10.16,2008-10-16,13.477775916017354,0.4175186617079622,1634,3388
sst_2008.11.16,2008-11-16,13.333445480328663,0.33051641417254,1634,3388
sst_2008.12.16,2008-12-16,12.43073177225052,0.5738679676567129,1634,3388
sst_2009.01.16,2009-01-16,11.73093355757568,0.3327250837120807,1634,3388
sst_2009.02.16,2009-02-16,10.879924535469858,0.14019519820717272,1634,3388
sst_2009.03.16,2009-03-16,11.01828256942587,0.1162037453163847,1634,3388
sst_2009.04.16,2009-04-16,10.544202712238048,0.5773296838893803,1634,3388
sst_2009.05.16,2009-05-16,10.50194521637143,0.35146571880178806,1634,3388
sst_2009.06.16,2009-06-16,12.738267954856756,0.37270129931548185,1634,3388
sst_2009.07.16,2009-07-16,13.209344983241634,0.5186713518905107,1634,3388
sst_2009.08.16,2009-08-16,14.881323380903764,0.6518567183895561,1634,3388
sst_2009.09.16,2009-09-16,15.401930465608167,0.5497827057675327,1634,3388
sst_2009.10.16,2009-10-16,12.757770209554517,0.4195037948810726,1634,3388
sst_2009.11.16,2009-11-16,12.527356612780862,0.37526800051807574,1634,3388
sst_2009.12.16,2009-12-16,11.73472232210594,0.2269521758742312,1634,3388
sst_2010.01.16,2010-01-16,12.323798619870452,0.08605838978469547,1634,3388
sst_2010.02.16,2010-02-16,12.29433039425396,0.14325818105071356,1634,3388
sst_2010.03.16,2010-03-16,12.33882387920141,0.1627097191948136,1634,3388
sst_2010.04.16,2010-04-16,11.687708155464254,0.20283563040148564,1634,3388
sst_2010.05.16,2010-05-16,11.110708964053968,0.5876090695568549,1634,3388
sst_2010.06.16,2010-06-16,11.857258892397107,0.5111460635833813,1634,3388
sst_2010.07.16,2010-07-16,11.828735324539853,0.2629942935458142,1634,3388
sst_2010.08.16,2010-08-16,12.528903992708065,0.29301687262710663,1634,3388
sst_2010.09.16,2010-09-16,13.597188514970693,0.6125276305517364,1634,3388
sst_2010.10.16,2010-10-16,13.049961256727558,0.3453136408543187,1634,3388
sst_2010.11.16,2010-11-16,12.707266518188622,0.4321652741347757,1634,3388
sst_2010.12.16,2010-12-16,12.192706606886322,0.21078323899484885,1634,3388
sst_2011.01.16,2011-01-16,11.55711383661948,0.3050522895669146,1634,3388
sst_2011.02.16,2011-02-16,11.28569550497332,0.17370408399913692,1634,3388
sst_2011.03.16,2011-03-16,11.154775067794422,0.04609394387616758,1634,3388
sst_2011.04.16,2011-04-16,11.08187659938051,0.40961495379136703,1634,3388
sst_2011.05.16,2011-05-16,10.891539149188658,0.640630092862666,1634,3388
sst_2011.06.16,2011-06-16,11.958704843712528,0.3928215272248847,1634,3388
sst_2011.07.16,2011-07-16,12.515968124587816,0.36148975327414345,1634,3388
sst_2011.08.16,2011-08-16,13.099049618843736,0.3896574782220191,1634,3388
sst_2011.09.16,2011-09-16,14.00122934136509,0.4443559394018992,1634,3388
sst_2011.10.16,2011-10-16,14.74090532034882,0.29668430103740734,1634,3388
sst_2011.11.16,2011-11-16,12.2326672136291,0.2778658029912068,1634,3388
sst_2011.12.16,2011-12-16,11.652303089921,0.19494228322583113,1634,3388
sst_2012.01.16,2012-01-16,11.524313619314146,0.228559324446942,1634,3388
sst_2012.02.16,2012-02-16,11.20892022323158,0.28806803643625867,1634,3388
sst_2012.03.16,2012-03-16,9.907409559878154,0.2106010287249396,1634,3388
sst_2012.04.16,2012-04-16,11.16307204785848,0.2497425071379548,1634,3388
sst_2012.05.16,2012-05-16,10.86401465369791,0.6425296667792685,1634,3388
sst_2012.06.16,2012-06-16,11.897975863081786,0.5628784361663917,1634,3388
sst_2012.07.16,2012-07-16,11.906277590124498,0.5014178921401753,1634,3388
sst_2012.08.16,2012-08-16,13.372615386350375,0.5750989816786269,1634,3388
sst_2012.09.16,2012-09-16,13.641368330017594,0.7072450825193768,1634,3388
sst_2012.10.16,2012-10-16,14.846720527729994,0.6047205045086348,1634,3388
sst_2012.11.16,2012-11-16,14.162620571456245,0.44254375296100823,1634,3388
sst_2012.12.16,2012-12-16,13.39806961365827,0.14915659186569408,1634,3388
sst_2013.01.16,2013-01-16,11.997089606671294,0.22774132059525107,1634,3388
sst_2013.02.16,2013-02-16,11.234257307356618,0.3876584414266158,1634,3388
sst_2013.03.16,2013-03-16,10.682124447512937,0.28302115213510354,1634,3388
sst_2013.04.16,2013-04-16,10.55476000176692,0.36011638392703355,1634,3388
sst_2013.05.16,2013-05-16,11.297647775697314,0.5719855812232264,1634,3388
sst_2013.06.16,2013-06-16,12.56874423156522,0.5060531809866582,1634,3388
sst_2013.07.16,2013-07-16,12.521107021723616,0.2655273417367134,1634,3388
sst_2013.08.16,2013-08-16,13.61007368860166,0.5505406103029254,1634,3388
sst_2013.09.16,2013-09-16,14.763612956617912,1.012149081599721,1634,3388
sst_2013.10.16,2013-10-16,12.547318099381089,0.8658882289674359,1634,3388
sst_2013.11.16,2013-11-16,12.619348420162268,0.57219018908353,1634,3388
sst_2013.12.16,2013-12-16,11.947705625784018,0.3924757704509316,1634,3388
sst_2014.01.16,2014-01-16,12.068105947591338,0.3367151877253051,1634,3388
sst_2014.02.16,2014-02-16,11.663488475885131,0.2042934638715652,1634,3388
sst_2014.03.16,2014-03-16,12.607506077573882,0.22283371336498872,1634,3388
sst_2014.04.16,2014-04-16,11.799673933909665,0.5359907275811121,1634,3388
sst_2014.05.16,2014-05-16,11.881496866309517,0.7857533238048509,1634,3388
sst_2014.06.16,2014-06-16,11.9850535297056,0.3502017980846645,1634,3388
sst_2014.07.16,2014-07-16,14.14323058685699,0.2660997268308365,1634,3388
sst_2014.08.16,2014-08-16,15.794193848809217,0.31069423516452155,1634,3388
sst_2014.09.16,2014-09-16,17.320906367746687,0.22042572665141733,1634,3388
sst_2014.10.16,2014-10-16,16.915240029939653,0.574390322773759,1634,3388
sst_2014.11.16,2014-11-16,16.24776150682037,0.5714950659035825,1634,3388
sst_2014.12.16,2014-12-16,15.63158245604604,0.2128586771465971,1634,3388
sst_2015.01.16,2015-01-16,13.950132025456345,0.1848318586721094,1634,3388
sst_2015.02.16,2015-02-16,13.960242819757925,0.05921738943337203,1634,3388
sst_2015.03.16,2015-03-16,13.89830129684214,0.4197352357510385,1634,3388
sst_2015.04.16,2015-04-16,12.426283393868871,0.5132632637557746,1634,3388
