lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,27.72401655148237,0.0678318130220066,13240,390
sst_2002.07.16,2002-07-16,29.481237558218147,0.04258322858786663,13240,390
sst_2002.08.16,2002-08-16,29.869759427584135,0.11537151487612896,13240,390
sst_2002.09.16,2002-09-16,28.852884224133614,0.0768725601365946,13240,390
sst_2002.10.16,2002-10-16,27.53407984024439,0.12697519242199995,13240,390
sst_2002.11.16,2002-11-16,25.586286887144432,0.12883456786004371,13240,390
sst_2002.12.16,2002-12-16,22.645445368840143,0.2190460689783797,13240,390
sst_2003.01.16,2003-01-16,20.58724067883614,0.2926270015161774,13240,390
sst_2003.02.16,2003-02-16,20.15114002716847,0.3788841452247475,13240,390
sst_2003.03.16,2003-03-16,21.165016917693308,0.39785371089298144,13240,390
sst_2003.04.16,2003-04-16,21.79915075057592,0.26131225769686645,13240,390
sst_2003.05.16,2003-05-16,25.711299407176483,0.06930136282528651,13240,390
sst_2003.06.16,2003-06-16,28.50899173051883,0.12591189601452876,13240,390
sst_2003.07.16,2003-07-16,29.1148439065004,0.10352111873406578,13240,390
sst_2003.08.16,2003-08-16,29.96889429336939,0.0574143348051822,13240,390
sst_2003.09.16,2003-09-16,29.119385156876003,0.13500231380741082,13240,390
sst_2003.10.16,2003-10-16,27.08387232071314,0.1497670772353662,13240,390
sst_2003.11.16,2003-11-16,25.699119450495793,0.15146436671010066,13240,390
sst_2003.12.16,2003-12-16,22.70473085061098,0.25270513643259535,13240,390
sst_2004.01.16,2004-01-16,21.44419148763021,0.3552661136908587,13240,390
sst_2004.02.16,2004-02-16,20.88163585173778,0.44425005548281854,13240,390
sst_2004.03.16,2004-03-16,21.291880680964542,0.16315544183921596,13240,390
sst_2004.04.16,2004-04-16,22.669368724333935,0.17799787358027358,13240,390
sst_2004.05.16,2004-05-16,24.90867137419872,0.08574356772727335,13240,390
sst_2004.06.16,2004-06-16,28.23334405361078,0.08856643046421327,13240,390
sst_2004.07.16,2004-07-16,29.675420673076925,0.2742867304437853,13240,390
