lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,28.38473885654447,0.1139952003362537,33298,8726
sst_2002.07.16,2002-07-16,29.66331968060497,0.26146377095780715,33298,8726
sst_2002.08.16,2002-08-16,30.072430135240364,0.1913484889648063,33298,8726
sst_2002.09.16,2002-09-16,29.268733284928615,0.09623961733795416,33298,8726
sst_2002.10.16,2002-10-16,28.75369720144226,0.10405143211646144,33298,8726
sst_2002.11.16,2002-11-16,26.5581225006782,0.2999367578431669,33298,8726
sst_2002.12.16,2002-12-16,24.079620354333493,0.6382109969205761,33298,8726
sst_2003.01.16,2003-01-16,22.318614986820993,0.633497355841222,33298,8726
sst_2003.02.16,2003-02-16,22.056745792784987,1.074009544179136,33298,8726
sst_2003.03.16,2003-03-16,25.557136757724088,0.6620987678521927,33298,8726
sst_2003.04.16,2003-04-16,24.817049591742933,0.5184687744675188,33298,8726
sst_2003.05.16,2003-05-16,28.06197152409891,0.40295197708339986,33298,8726
sst_2003.06.16,2003-06-16,29.31935641428431,0.3277938228184221,33298,8726
sst_2003.07.16,2003-07-16,29.4522062621203,0.34664641620821807,33298,8726
sst_2003.08.16,2003-08-16,30.412135388035303,0.2089921045705974,33298,8726
sst_2003.09.16,2003-09-16,29.820383502506427,0.1843848188821272,33298,8726
sst_2003.10.16,2003-10-16,28.707836506974935,0.1953961712973853,33298,8726
sst_2003.11.16,2003-11-16,26.65168199139179,0.48115887058111967,33298,8726
sst_2003.12.16,2003-12-16,23.893403246728976,0.7358122728155294,33298,8726
sst_2004.01.16,2004-01-16,23.499371416929964,0.608134692441975,33298,8726
sst_2004.02.16,2004-02-16,23.248204698372454,0.5833450343017503,33298,8726
sst_2004.03.16,2004-03-16,23.637608009004385,0.5655423929463378,33298,8726
sst_2004.04.16,2004-04-16,24.16409336031508,0.4005260272747492,33298,8726
sst_2004.05.16,2004-05-16,26.15107535397873,0.4328291234537919,33298,8726
sst_2004.06.16,2004-06-16,29.2961409448785,0.4519038527016219,33298,8726
sst_2004.07.16,2004-07-16,29.99207061620691,0.37153524101291824,33298,8726
sst_2004.08.16,2004-08-16,30.14109208401862,0.11972771472346966,33298,8726
