lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,26.579406229654943,0.01516162153998547,10,60
sst_2002.07.16,2002-07-16,28.732035319010414,0.04557482116523522,10,60
sst_2002.08.16,2002-08-16,28.19740244547526,0.01438097502041234,10,60
sst_2002.09.16,2002-09-16,27.887736002604168,0.01237026367222045,10,60
sst_2002.10.16,2002-10-16,26.45909729003906,0.07508657973342912,10,60
sst_2002.11.16,2002-11-16,21.742088317871097,0.15163261347499363,10,60
sst_2002.12.16,2002-12-16,15.514317830403646,0.20548105121967383,10,60
sst_2003.01.16,2003-01-16,12.339141845703123,0.1986362463621933,10,60
sst_2003.02.16,2003-02-16,12.166150410970053,0.18669318235620017,10,60
sst_2003.03.16,2003-03-16,15.324439493815104,0.1381435319498234,10,60
sst_2003.04.16,2003-04-16,19.25053253173828,0.032010325462827643,10,60
sst_2003.05.16,2003-05-16,23.977056884765624,0.05338418129837617,10,60
sst_2003.06.16,2003-06-16,26.93081766764323,0.03727233369812286,10,60
sst_2003.07.16,2003-07-16,26.38970692952474,0.03021283510190367,10,60
sst_2003.08.16,2003-08-16,26.98807322184245,0.03119443670226491,10,60
sst_2003.09.16,2003-09-16,26.167133585611975,0.01589439398886857,10,60
sst_2003.10.16,2003-10-16,23.893770853678387,0.07882916284820843,10,60
sst_2003.11.16,2003-11-16,21.869234720865887,0.09071381000450814,10,60
sst_2003.12.16,2003-12-16,15.93614705403646,0.1992747221433133,10,60
sst_2004.01.16,2004-01-16,13.457988993326824,0.20518035581144145,10,60
sst_2004.02.16,2004-02-16,12.342525736490886,0.2186127822916241,10,60
sst_2004.03.16,2004-03-16,14.990667724609375,0.11300659128003672,10,60
sst_2004.04.16,2004-04-16,18.864826456705728,0.04555139012859871,10,60
sst_2004.05.16,2004-05-16,23.784925842285155,0.0430147784955008,10,60
sst_2004.06.16,2004-06-16,26.64875691731771,0.07110256542217461,10,60
sst_2004.07.16,2004-07-16,26.82860565185547,0.01079885092422698,10,60
sst_2004.08.16,2004-08-16,27.901534016927084,0.03969799034678333,10,60
sst_2004.09.16,2004-09-16,26.78308868408203,0.03348056647402141,10,60
sst_2004.10.16,2004-10-16,24.95241292317708,0.03739107772697566,10,60
sst_2004.11.16,2004-11-16,21.977559916178382,0.07921138460477371,10,60
sst_2004.12.16,2004-12-16,17.262109375,0.16410740398700166,10,60
sst_2005.01.16,2005-01-16,13.863458760579428,0.18173302964764584,10,60
sst_2005.02.16,2005-02-16,12.765532938639325,0.22028045170801272,10,60
sst_2005.03.16,2005-03-16,14.213249206542969,0.09510392158760075,10,60
sst_2005.04.16,2005-04-16,18.028903198242187,0.03214757361426993,10,60
sst_2005.05.16,2005-05-16,22.196745300292967,0.02924050086569359,10,60
sst_2005.06.16,2005-06-16,25.880418395996095,0.07255757702263416,10,60
sst_2005.07.16,2005-07-16,28.9030029296875,0.04170554905053049,10,60
sst_2005.08.16,2005-08-16,29.987183125813804,0.03683657060665509,10,60
sst_2005.09.16,2005-09-16,27.954898071289065,0.01701739632032618,10,60
sst_2005.10.16,2005-10-16,25.665506490071618,0.04751874032043316,10,60
sst_2005.11.16,2005-11-16,20.682495625813804,0.09676350617427244,10,60
