lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,25.935173619228618,0.24255407420022,93983,3041
sst_2002.07.16,2002-07-16,25.706399763935845,0.23445262843011316,93983,3041
sst_2002.08.16,2002-08-16,26.459932928765852,0.27575237406357506,93983,3041
sst_2002.09.16,2002-09-16,26.800560140562705,0.21149825301006073,93983,3041
sst_2002.10.16,2002-10-16,26.64621149305841,0.21769147207835116,93983,3041
sst_2002.11.16,2002-11-16,25.987636707911793,0.28147822202947886,93983,3041
sst_2002.12.16,2002-12-16,25.40110630786799,0.23798360196123625,93983,3041
sst_2003.01.16,2003-01-16,24.79493999888888,0.33503799543997276,93983,3041
sst_2003.02.16,2003-02-16,24.371733324577132,0.3846561995655377,93983,3041
sst_2003.03.16,2003-03-16,24.766583779813896,0.19711119141366432,93983,3041
sst_2003.04.16,2003-04-16,24.973496170821686,0.21380798990279892,93983,3041
sst_2003.05.16,2003-05-16,25.393523607940825,0.18037718249332363,93983,3041
sst_2003.06.16,2003-06-16,26.154942561121057,0.1911452288847633,93983,3041
sst_2003.07.16,2003-07-16,25.886180492577996,0.2113332113964453,93983,3041
sst_2003.08.16,2003-08-16,26.391359910648223,0.21675969676406848,93983,3041
sst_2003.09.16,2003-09-16,26.757292797988043,0.20507104958675304,93983,3041
sst_2003.10.16,2003-10-16,27.269936478479018,0.15993926609174938,93983,3041
sst_2003.11.16,2003-11-16,26.401830751619148,0.16015256943407094,93983,3041
sst_2003.12.16,2003-12-16,25.53075250627492,0.2831457475928705,93983,3041
sst_2004.01.16,2004-01-16,24.998778594398686,0.29208146312009986,93983,3041
sst_2004.02.16,2004-02-16,25.18704345060861,0.2035008069141227,93983,3041
sst_2004.03.16,2004-03-16,24.534446598392925,0.28792654451039656,93983,3041
sst_2004.04.16,2004-04-16,25.061043806744028,0.2771746706907117,93983,3041
sst_2004.05.16,2004-05-16,25.60616784439162,0.2563321999001181,93983,3041
sst_2004.06.16,2004-06-16,26.20086993060979,0.26105113202259245,93983,3041
sst_2004.07.16,2004-07-16,26.60913242489364,0.2009878244711689,93983,3041
sst_2004.08.16,2004-08-16,27.281931522448417,0.2089970339445157,93983,3041
sst_2004.09.16,2004-09-16,27.72877162743932,0.2139535084882544,93983,3041
sst_2004.10.16,2004-10-16,27.352525745556175,0.16809014782903778,93983,3041
sst_2004.11.16,2004-11-16,26.990468711062743,0.14559514345489286,93983,3041
sst_2004.12.16,2004-12-16,25.720063901661025,0.17539104668538016,93983,3041
sst_2005.01.16,2005-01-16,24.93633555519232,0.2796144139186066,93983,3041
sst_2005.02.16,2005-02-16,24.92733092278252,0.29736883385062896,93983,3041
sst_2005.03.16,2005-03-16,24.46492929154421,0.25523319546435735,93983,3041
sst_2005.04.16,2005-04-16,24.432713868311463,0.21152046045588335,93983,3041
sst_2005.05.16,2005-05-16,25.33892561345851,0.15395933202552606,93983,3041
sst_2005.06.16,2005-06-16,25.635905121863185,0.2560913594947791,93983,3041
sst_2005.07.16,2005-07-16,26.370270507973068,0.2793519444047158,93983,3041
sst_2005.08.16,2005-08-16,26.979893502182417,0.30547246968243436,93983,3041
sst_2005.09.16,2005-09-16,27.273433024222346,0.28438465670871027,93983,3041
sst_2005.10.16,2005-10-16,26.82098104670737,0.32014280835941417,93983,3041
sst_2005.11.16,2005-11-16,26.141032315837204,0.2983693081506903,93983,3041
sst_2005.12.16,2005-12-16,25.839458612343545,0.25153285204848796,93983,3041
sst_2006.01.16,2006-01-16,24.908064777307786,0.222267551129277,93983,3041
sst_2006.02.16,2006-02-16,24.138569785120925,0.2205805582220994,93983,3041
sst_2006.03.16,2006-03-16,24.177110144512625,0.2057863052695613,93983,3041
sst_2006.04.16,2006-04-16,23.87159979386535,0.29078117986217233,93983,3041
sst_2006.05.16,2006-05-16,24.50648974713743,0.255038192172626,93983,3041
sst_2006.06.16,2006-06-16,25.33680081328292,0.2629499598310578,93983,3041
sst_2006.07.16,2006-07-16,25.806895463335714,0.231961464252382,93983,3041
sst_2006.08.16,2006-08-16,26.34920009222912,0.2202740113041148,93983,3041
sst_2006.09.16,2006-09-16,26.65822476127045,0.19681980988728068,93983,3041
sst_2006.10.16,2006-10-16,26.99676523707251,0.20359444743265856,93983,3041
sst_2006.11.16,2006-11-16,26.617462991139327,0.1970407507908991,93983,3041
sst_2006.12.16,2006-12-16,25.3682228698028,0.20564119188379407,93983,3041
sst_2007.01.16,2007-01-16,24.578109425096596,0.2047879662161995,93983,3041
sst_2007.02.16,2007-02-16,24.094955790556405,0.18995414587498125,93983,3041
sst_2007.03.16,2007-03-16,24.37050187356454,0.1637039839339914,93983,3041
sst_2007.04.16,2007-04-16,24.598540567324687,0.1917979958645553,93983,3041
sst_2007.05.16,2007-05-16,24.919221586398645,0.17018953386627905,93983,3041
sst_2007.06.16,2007-06-16,25.769729157648207,0.2646014641983913,93983,3041
sst_2007.07.16,2007-07-16,26.035257306235355,0.29678930816425075,93983,3041
sst_2007.08.16,2007-08-16,26.640751807009927,0.23265467261553524,93983,3041
sst_2007.09.16,2007-09-16,26.67854821387971,0.19646552958454017,93983,3041
sst_2007.10.16,2007-10-16,26.36258504579664,0.23955940063710568,93983,3041
sst_2007.11.16,2007-11-16,26.125675471116743,0.23909821542461268,93983,3041
sst_2007.12.16,2007-12-16,25.06093180191356,0.272049558096959,93983,3041
sst_2008.01.16,2008-01-16,24.3523870064843,0.2700942107980771,93983,3041
sst_2008.02.16,2008-02-16,24.095826630371253,0.1844894054452912,93983,3041
sst_2008.03.16,2008-03-16,24.501852580568816,0.2512283385434635,93983,3041
sst_2008.04.16,2008-04-16,24.420246519410505,0.2448252388427875,93983,3041
sst_2008.05.16,2008-05-16,24.98843782193486,0.1839947912110593,93983,3041
sst_2008.06.16,2008-06-16,25.589401892398932,0.1636729314531085,93983,3041
sst_2008.07.16,2008-07-16,26.168417321267547,0.1928286314586019,93983,3041
sst_2008.08.16,2008-08-16,26.050213910058627,0.1992002578424934,93983,3041
sst_2008.09.16,2008-09-16,26.388316281490205,0.15628520036751184,93983,3041
sst_2008.10.16,2008-10-16,26.254674799228255,0.12893914175505675,93983,3041
sst_2008.11.16,2008-11-16,25.91595251252094,0.18965196349642177,93983,3041
sst_2008.12.16,2008-12-16,24.961926536472248,0.2249393141907274,93983,3041
sst_2009.01.16,2009-01-16,24.403012818546916,0.244692218352084,93983,3041
sst_2009.02.16,2009-02-16,23.786161614028845,0.20449906335513485,93983,3041
sst_2009.03.16,2009-03-16,23.06422640578757,0.1935843740397751,93983,3041
sst_2009.04.16,2009-04-16,23.26787077663212,0.24905239608531843,93983,3041
sst_2009.05.16,2009-05-16,24.891749463870077,0.2849757336163038,93983,3041
sst_2009.06.16,2009-06-16,25.843060128118836,0.31767972002413397,93983,3041
sst_2009.07.16,2009-07-16,26.01308450444832,0.3215804634235918,93983,3041
