lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,26.8043212890625,0.01834230847194108,4,2
sst_2002.07.16,2002-07-16,27.912918090820312,0.00830798677846743,4,2
sst_2002.08.16,2002-08-16,27.964889526367188,0.01935653023450723,4,2
sst_2002.09.16,2002-09-16,26.79730224609375,0.04820790250154868,4,2
sst_2002.10.16,2002-10-16,25.833663940429688,0.06359386243154161,4,2
sst_2002.11.16,2002-11-16,22.025054931640625,0.05567430100895058,4,2
sst_2002.12.16,2002-12-16,21.464035034179688,0.04046097457045827,4,2
sst_2003.01.16,2003-01-16,19.243896484375,0.0479921106371729,4,2
sst_2003.02.16,2003-02-16,19.929733276367188,0.03644724589306881,4,2
sst_2003.03.16,2003-03-16,21.045928955078125,0.03970570304514305,4,2
sst_2003.04.16,2003-04-16,20.70741271972656,0.06691705714292859,4,2
sst_2003.05.16,2003-05-16,22.082855224609375,0.07695137883640224,4,2
sst_2003.06.16,2003-06-16,25.347900390625,0.04535944989178842,4,2
sst_2003.07.16,2003-07-16,27.00830078125,0.03439722318149892,4,2
sst_2003.08.16,2003-08-16,27.093719482421875,0.01614123145530815,4,2
sst_2003.09.16,2003-09-16,25.955718994140625,0.03405195619849768,4,2
sst_2003.10.16,2003-10-16,24.81439208984375,0.05524271728019903,4,2
sst_2003.11.16,2003-11-16,22.66961669921875,0.05571745938182573,4,2
sst_2003.12.16,2003-12-16,21.21446228027344,0.06523388060079752,4,2
sst_2004.01.16,2004-01-16,19.422149658203125,0.05986066317784066,4,2
sst_2004.02.16,2004-02-16,19.38389587402344,0.04525155395960053,4,2
sst_2004.03.16,2004-03-16,19.4427490234375,0.05381849097531889,4,2
sst_2004.04.16,2004-04-16,18.910629272460938,0.0811593201917299,4,2
sst_2004.05.16,2004-05-16,23.914260864257812,0.04244625972271542,4,2
sst_2004.06.16,2004-06-16,26.2796630859375,0.01501911376055411,4,2
sst_2004.07.16,2004-07-16,28.149581909179688,0.03390090189343463,4,2
sst_2004.08.16,2004-08-16,27.231491088867188,0.0156017517943687,4,2
sst_2004.09.16,2004-09-16,25.234573364257812,0.02971453972454455,4,2
sst_2004.10.16,2004-10-16,21.83258056640625,0.04773316039992197,4,2
sst_2004.11.16,2004-11-16,20.771942138671875,0.07470714344689415,4,2
sst_2004.12.16,2004-12-16,19.883560180664062,0.06238542799103726,4,2
sst_2005.01.16,2005-01-16,20.904876708984375,0.03016770263973368,4,2
sst_2005.02.16,2005-02-16,19.568679809570312,0.05043055870461919,4,2
sst_2005.03.16,2005-03-16,19.023361206054688,0.05064635056899497,4,2
sst_2005.04.16,2005-04-16,16.909042358398438,0.05284742758562789,4,2
sst_2005.05.16,2005-05-16,20.3895263671875,0.06819022914274567,4,2
sst_2005.06.16,2005-06-16,24.42958068847656,0.05772432372052046,4,2
sst_2005.07.16,2005-07-16,27.692062377929688,0.03679251287607005,4,2
sst_2005.08.16,2005-08-16,29.410919189453125,0.01074643484591371,4,2
sst_2005.09.16,2005-09-16,27.649749755859375,0.02611081558946907,4,2
sst_2005.10.16,2005-10-16,24.242752075195312,0.04145361714658684,4,2
sst_2005.11.16,2005-11-16,21.535491943359375,0.04730157667117041,4,2
sst_2005.12.16,2005-12-16,20.37611389160156,0.05241584385687634,4,2
sst_2006.01.16,2006-01-16,19.507858276367188,0.06048645958453041,4,2
sst_2006.02.16,2006-02-16,19.569427490234375,0.04069834562127163,4,2
sst_2006.03.16,2006-03-16,20.77880859375,0.04216573029902691,4,2
sst_2006.04.16,2006-04-16,19.600341796875,0.06491019280423385,4,2
sst_2006.05.16,2006-05-16,21.610931396484375,0.06983024731200158,4,2
sst_2006.06.16,2006-06-16,25.61094665527344,0.02898084738566691,4,2
sst_2006.07.16,2006-07-16,27.46473693847656,0.03515249470681415,4,2
sst_2006.08.16,2006-08-16,28.543426513671875,5.179004745018658e-4,4,2
sst_2006.09.16,2006-09-16,26.146804809570312,0.06588125619392485,4,2
sst_2006.10.16,2006-10-16,24.709030151367188,0.09125837944451629,4,2
sst_2006.11.16,2006-11-16,22.681121826171875,0.03944675280789211,4,2
sst_2006.12.16,2006-12-16,21.654098510742188,0.05241584385687634,4,2
sst_2007.01.16,2007-01-16,21.112884521484375,0.05593325124620151,4,2
sst_2007.02.16,2007-02-16,20.553176879882812,0.04274836833284151,4,2
sst_2007.03.16,2007-03-16,20.837234497070312,0.05811274907639686,4,2
sst_2007.04.16,2007-04-16,21.698989868164062,0.05966645049990246,4,2
sst_2007.05.16,2007-05-16,23.905426025390625,0.03198035430049022,4,2
sst_2007.06.16,2007-06-16,25.83111572265625,0.01998232664119699,4,2
sst_2007.07.16,2007-07-16,27.610641479492188,0.02941243111441846,4,2
sst_2007.08.16,2007-08-16,28.382308959960938,0.01724176996362461,4,2
sst_2007.09.16,2007-09-16,27.692367553710938,0.05453060412775896,4,2
sst_2007.10.16,2007-10-16,26.925003051757812,0.02846294691116504,4,2
